hu1,hu2,hu3,hu4,hu5,hu6,hu7,label
0.15939403194755694,2.8094606339860366e-05,1.1815755969391688e-06,7.491591222145809e-10,9.167805311262441e-18,-3.425323926521164e-13,-2.0316343081130408e-17,Circulo
0.15925401391658722,2.31508152512273e-05,2.397213681287138e-07,5.049700040771613e-11,-1.1790720584836551e-20,3.0735461063546e-14,-1.752958171232339e-19,Circulo
0.15950992590332752,4.943517184636769e-05,3.371677297832376e-06,6.754559597205647e-10,-9.285648003519963e-18,-2.8827053746319908e-12,3.0867917671279867e-17,Circulo
0.15923159802666376,1.3572466159139464e-05,4.1032617299050793e-08,1.2728594657126082e-11,-8.558801960784278e-21,-4.3073674196899746e-14,3.371414423204711e-21,Circulo
0.1593494363348168,9.343422932742678e-06,3.8129900323568973e-06,1.9245237546528385e-11,-9.871551259645527e-21,3.511041719064433e-14,1.6456512135303963e-19,Circulo
0.15938482805858561,6.051128860539753e-05,3.609329916134673e-07,2.139773604063249e-10,1.5433893200002516e-18,1.5130095277895337e-12,1.0742878363782988e-18,Circulo
0.15950887720704965,5.804057896453086e-05,6.852781039306363e-07,1.1054840270455399e-10,-3.7548065367478563e-19,-8.367350660190736e-13,8.859059785707225e-19,Circulo
0.15939403194755694,2.8094606339860366e-05,1.1815755969391688e-06,7.491591222145809e-10,9.167805311262441e-18,-3.425323926521164e-13,-2.0316343081130408e-17,Circulo
0.15925401391658722,2.31508152512273e-05,2.397213681287138e-07,5.049700040771613e-11,-1.1790720584836551e-20,3.0735461063546e-14,-1.752958171232339e-19,Circulo
0.15950992590332752,4.943517184636769e-05,3.371677297832376e-06,6.754559597205647e-10,-9.285648003519963e-18,-2.8827053746319908e-12,3.0867917671279867e-17,Circulo
0.15923159802666376,1.3572466159139464e-05,4.1032617299050793e-08,1.2728594657126082e-11,-8.558801960784278e-21,-4.3073674196899746e-14,3.371414423204711e-21,Circulo
0.1593494363348168,9.343422932742678e-06,3.8129900323568973e-06,1.9245237546528385e-11,-9.871551259645527e-21,3.511041719064433e-14,1.6456512135303963e-19,Circulo
0.15938482805858561,6.051128860539753e-05,3.609329916134673e-07,2.139773604063249e-10,1.5433893200002516e-18,1.5130095277895337e-12,1.0742878363782988e-18,Circulo
0.15950887720704965,5.804057896453086e-05,6.852781039306363e-07,1.1054840270455399e-10,-3.7548065367478563e-19,-8.367350660190736e-13,8.859059785707225e-19,Circulo
0.15943272188204116,3.8521446625228276e-05,3.181370496491304e-06,1.9130950848987648e-10,-4.425619495799693e-18,-1.1527910409954397e-12,1.6398811837588702e-18,Circulo
0.1592198910903181,1.234145594592939e-05,3.1102086757545564e-10,1.5054213241358178e-12,3.232241691574082e-23,3.1707595992524825e-15,4.047154035889636e-24,Circulo
0.1594889651756327,7.557395180272773e-05,7.602215733305321e-07,7.48513991860849e-10,-3.379376691520121e-18,-1.8871113407279217e-13,-1.7532703813847297e-17,Circulo
0.15943539141598384,6.807947026767641e-06,7.401764962284935e-06,1.0236346840188945e-08,2.58666982318729e-15,2.478984547529236e-11,1.1172380571279915e-15,Circulo
0.15948330874885508,9.643944789065969e-05,1.553083195855287e-07,8.301235472951895e-11,2.932625570114387e-19,8.076458794726357e-13,5.329176642926664e-20,Circulo
0.15936666800741633,5.963205142450977e-05,6.695863075338032e-07,3.689375504426211e-10,-3.95491967992003e-18,-1.98480006545912e-12,-4.240734731036643e-18,Circulo
0.1597222050318724,0.00011369934770107133,6.064517571078902e-06,6.656014410229933e-09,-9.707406406789096e-16,-5.4831756679572906e-11,9.197592183351628e-16,Circulo
0.15995951537284536,0.00012878792556957912,7.023658990221557e-06,1.6233472119876955e-08,-1.9972964227170975e-15,-8.984246364458574e-11,5.1046614914948766e-15,Circulo
0.16026072464284236,0.00021518250338263924,1.7611947576697048e-05,2.5191231336001534e-08,1.5939102276277208e-14,3.537100913803206e-10,5.243571786575393e-15,Circulo
0.15941228256618167,3.796348931549474e-06,5.070335313225108e-06,2.0080361223219375e-10,-4.028916676027361e-18,3.115983309391426e-14,-4.982111018767461e-18,Circulo
0.15971210489244392,4.689674121360542e-05,2.5151782614183495e-06,4.61581898477155e-09,4.696047673121881e-16,3.151733829054438e-11,-1.6377778897403815e-16,Circulo
0.15939125790234165,4.90591468630474e-05,2.008921699590341e-07,2.734165911915171e-10,6.954215381092482e-20,2.893031428491503e-13,-2.0251766083375377e-18,Circulo
0.1596092186924184,4.208034999293438e-05,6.32710725954561e-06,3.1503697265953585e-09,-3.292879957509653e-16,-3.276381591800241e-12,-2.989955396848868e-16,Circulo
0.159547239951556,9.843399993357218e-05,1.2214370249431023e-07,1.2183831037686631e-10,3.903250034114216e-19,1.1969367281734874e-12,2.6183985369676966e-19,Circulo
0.16032489112400475,0.0002672636481405584,1.5963397243670526e-06,1.5813878804405322e-08,6.619166564991129e-16,6.841839389467946e-11,-2.4238266001051335e-15,Circulo
